name,team,base_thirst,laserlikeness,continuation,ground_friction,indulgence
Abner Wood,Lovers,0.967840813835726,0.167242690769752,0.402217986537525,0.285687277192916,0.797868953821727
Adalberto Tosser,Crabs,0.987992203296045,0.612864239040495,0.751935242431208,0.318166926989417,0.509075643028789
Adkins Davis,Tacos,0.579460376785583,0.410000920642728,0.0187943628520773,0.9018001679766,0.341813529642787
Adkins Gwiffin,Wild Wings,0.735229395354306,0.627854171811505,0.65691650011192,0.0411306722298204,0.8855914175991
Adkins Swagger,Breath Mints,0.517166708462424,0.834709569943989,0.502641581197218,0.295661116088295,0.863317865459518
Adkins Tosser,Magic,0.710648809370128,0.120346730757627,0.549533774522756,0.863047520252306,0.594075440236877
Adrian Melon,Pies,0.485051356974451,0.840830817979727,0.584640283713069,0.421240896326304,0.176398971737466
Agan Harrison,Firefighters,0.158871567974399,0.147775615471374,0.758835361578159,0.556085911953588,0.511373436394791
Alaynabella Hollywood,Garages,0.648933493654053,0.0725272336162787,0.0653623604068719,0.292647031812807,0.866091807935084
Albert Stink,Millennials,0.596607549738886,0.162943134334043,0.808186156265311,0.235553807231497,0.822608247512147
Aldo Comeback,Tacos,0.158913873236746,0.637323789383162,0.662505347067627,0.67657484428029,0.632312255654627
Aldon Cashmoney,Sunbeams,0.826148179534943,1.37603215184566,0.889654474673036,1.25022904166956,1.26303209021118
Alejandro Leaf,Millennials,0.246197750591003,1.07758710762589,0.864908113365923,0.590506996668658,0.821920410956968
Alexander Horne,Lovers,0.481395601030139,0.846222300172933,0.859118525245453,0.686170819083819,1.07827803138686
Alexandria Hess,Crabs,0.472900094481077,0.180388037679242,0.159952096703064,0.464802638568413,0.639593480947229
Alexandria Rosales,Spies,0.890035578518681,0.250498655062027,0.532789906393307,0.248775724379673,0.272210256308427
Allison Abbott,Steaks,0.41203048816847,0.909517090208993,0.443463171679697,1.12697034594604,0.643701903763032
Alston Cerveza,Moist Talkers,0.879935482256345,0.655553799323151,0.260580801499961,0.519941353352154,0.99492399644128
Alston England,Firefighters,0.326767215272378,0.854291643698524,0.131118368623981,0.389418949673982,0.209639128084327
Alston Woods,Dale,0.900286881234839,0.0237266331899104,0.365806510916252,0.215604763176871,0.259263296050452
Alx Keming,Shoe Thieves,0.271792420885061,0.805972985750653,0.293719819133039,0.913262412904913,0.646421197571083
Alyssa Harrell,Fridays,1.08672351398099,0.675081526930845,0.382638615324918,0.582693442850549,0.669353237535013
Amaya Jackson,Lovers,0.980010374409932,0.0431121793523408,0.93778973438047,0.549865542523718,0.560241931927959
Amos Melon,Moist Talkers,0.703107190478376,0.690190908173097,0.395518567317305,0.0877732378601279,0.531896360490349
Andrew Solis,Millennials,0.385006312124883,0.951176397142667,0.615649059986992,0.572984354131383,1.00353190116607
Ankle Halifax,Georgias,0.960170195710636,0.92306988620649,0.334698750911597,0.261693958438017,0.748258430913493
Annie Williams,Lovers,0.551708749794624,0.380178538491995,0.834277112781718,0.114639394550738,0.747905310121397
Antonio Mccall,Garages,0.540761475761962,0.764691948187115,0.384372834811853,0.659588084307691,0.859424720866903
Arches Candle,Mechanics,0.503308481197206,0.59677730926675,0.657458594837673,0.364007386002729,0.199203822586904
Artemesia Teixeira,Georgias,0.478119105429179,0.502361212445148,0.578087713413335,0.143757923596368,0.867337037447731
Arturo Huerta,Garages,0.895974097253231,1.01005351051755,0.271960501095659,0.744518209822547,0.822096447702917
Atlas Diaz,Magic,0.388590561808089,0.163973985504863,0.266705044483237,0.821894876967793,0.230948330253697
Atlas Guerra,Breath Mints,0.463593929100044,0.887594665937125,0.303221689554497,0.87012725442922,0.825740488876352
Atma Willowtree,Worms,0.806176112596211,0.559459818534135,0.151027370873281,0.753060401217208,0.516027854048376
Augusta Chadwell,Worms,0.113782177473434,0.454749930202473,0.617271035417071,0.730415493389262,0.489224995392651
August Obrien,Pies,0.701812167619184,0.966470145633041,0.140388935248408,0.415344498395414,0.48114898173699
Augusto Reddick,Moist Talkers,0.354461203545226,0.605319162114492,0.694117540869985,0.585020249598449,0.182943970259129
August Sky,Steaks,0.484920696788206,0.137922446584486,0.880359638450783,0.795481993725605,0.650756255055998
Aureliano Cerna,Spies,0.080090530372269,0.428529351207464,0.643886043281788,0.330050608744894,0.206402512494993
Aureliano Dollie,Dale,0.926350482918256,0.864239008131608,0.284596607572077,0.956727000403796,0.485777467687361
Aureliano Estes,Lovers,0.312819643220315,0.759353639272547,0.16333197023273,0.206792670538384,0.302532829494387
Aurora Blortles,Worms,0.99151684597432,0.522845091982575,0.309056882518754,0.762780991980435,0.447625517285052
Avi Jones,Worms,0.625590459339655,0.655464920464296,0.958778882180875,0.379785466392859,0.820309361437828
Avila Baker,Sunbeams,0.489933794746643,0.865557563103996,0.30152126081275,0.225517582735324,0.330403462107955
Avila Guzman,Dale,0.387235499151692,1.27240065505037,0.499416999071295,0.526935874588447,1.1203534800707
Axel Campbell,Crabs,0.58675291953689,0.305085237735778,0.894386649701138,0.671232635146072,0.449457911856223
Axel Cardenas,Wild Wings,0.714803394476132,0.156742584438432,0.289898189477809,0.238510798783609,0.691545447460417
Axel Trololol,Hall Stars,0.869063059849079,0.267170803308947,0.466226676006812,0.881894526938133,0.571681740112581
Ayanna Dumpington,Lift,0.810037432927497,0.818921499217061,0.0919238907062137,0.473915429956003,0.820393858256466
Baby Doyle,Jazz Hands,0.791506868941516,0.371224115649281,0.36674309471254,0.612621309294373,0.458871026278819
Baby Sliders,Sunbeams,0.559307721789558,0.974279275388496,0.65700019741699,0.304513959068663,0.354831546115335
Baby Triumphant,Firefighters,0.749275616732496,0.241251536677106,0.95684960318878,0.998666347414159,0.45050154664681
Baldwin Breadwinner,Crabs,0.621974647441438,0.254359112243879,0.001,0.653777837151205,0.591419648121383
Baldwin Jones,Steaks,0.903385465764995,0.618958179683028,0.0410692886561981,0.738851757758434,0.530943058571882
Bambi Perez,Pies,0.48972432945502,0.405945016481588,0.7634598657125,0.176203038385614,0.575228987807325
Bartleby Zhivago,Worms,0.865613406882716,0.109739834514789,0.63012159931722,0.67018311196854,0.428259659319916
Basilio Fig,Tacos,0.800647684796797,0.528251718896102,0.756653564337456,1.25121219139081,0.635617865002889
Basilio Mason,Tacos,1.09597648267811,0.83082112135477,1.27246639038546,0.687884742475001,1.19130135496852
Bates Bentley,Fridays,0.659992549687681,0.604985787922344,0.668103470134625,0.224340500824781,0.848479553411318
Bates Silk,Magic,0.328096652100419,0.504663376708111,0.393010074149177,0.104812549612877,0.361304443579326
Bauer Zimmerman,Jazz Hands,0.339294911421191,0.802565292644577,0.0463998816574707,0.702511328514731,0.979602606473151
Beans McBlase,Moist Talkers,0.11,0.701646819423227,0.01,0.0947559227137004,0.623859841719357
Beasley Day,Pies,0.961668876122403,0.396098408724096,0.416221089459696,0.673204793225002,0.330239236545783
Beasley Gloom,Moist Talkers,0.250412834886565,0.567343720360959,0.368556485633793,0.20221093297507,0.8190445461439
Beau Huerta,Millennials,0.120926934769298,0.613593489063093,0.698804278052325,0.0301207920217128,0.461140962019544
Becker Solis,Spies,0.573984704514172,0.014983341749863,0.721548457542127,0.57295847103611,0.510713894218939
Beck Whitney,Dale,0.94177493528493,1.41863524883446,0.447469627098011,0.772116650148393,1.42262341864943
Bees Taswell,Mechanics,0.673728482413702,0.18288900940454,0.205886781692652,0.606983912082152,0.682858586821047
Bennett Bowen,Steaks,0.468643170697235,0.491598374617715,0.556842533644751,0.284531982132706,0.179253449535758
Bennett Takahashi,Shoe Thieves,0.751362523581384,0.635788732988857,0.100704974263222,0.87810471284934,0.0503287369531415
Best Cerna,Wild Wings,0.387297417530566,0.854931068401619,0.575463203902795,0.460528826392448,0.170394277742609
Betsy Trombone,Garages,0.244432169913095,0.801454054058989,0.783069316724107,1.06280346873919,0.267070688908341
Bevan Underbuck,Crabs,0.982455112064786,0.904286054901601,0.849873146724581,0.929377823206284,0.653123524455105
Bevan Wise,Magic,0.128132764595018,0.527675970419882,0.912987384257183,0.955377689828673,1.03689555794808
Blood Hamburger,Shoe Thieves,0.370665070929223,0.44678604077454,0.755578164851533,1.1221214207846,0.947203709490433
Bonk Jokes,Magic,0.0584466204671585,0.569318702010175,0.35469165711639,0.557839282566909,0.77013696038242
Bontgomery Mullock,Lovers,0.206471620452757,0.240733515909079,1.05382231519041,0.943873625375778,0.436614611231574
Bottles Suljak,Mechanics,0.855582138524853,0.144066467420228,0.066482231124342,0.0559345352138019,0.736590143538644
Boyfriend Berger,Jazz Hands,0.00329533193054021,0.419369273428005,0.552257785359705,0.959734632744816,0.936513375226273
Boyfriend Monreal,Hall Stars,0.896349056411063,0.922331201285781,0.219988848966263,1.05927061621108,0.443852660284374
Brewer Vapor,Jazz Hands,0.0450359745032589,0.0898122125653809,0.18722689008029,0.773350816454323,0.675730261443432
Bright Zimmerman,Moist Talkers,0.497699248163814,0.078131183584777,0.109881426578872,0.630196392453481,0.43833054983167
Brock Forbes,Crabs,0.629970748393172,0.916043668897537,0.173614364312546,0.682538787163168,0.474900772320184
Brock Watson,Wild Wings,0.855587052722834,0.557741302333767,0.361782447763104,0.237868828540277,0.425890705339755
Burke Gonzales,Wild Wings,0.821393583789173,0.660199533539388,1.21924524989958,0.687852237090689,1.05237232638245
Caleb Alvarado,Firefighters,0.624978484120432,1.01756958471313,0.104047209216222,0.343135937997882,0.223461517281832
Caleb Morin,Fridays,0.711432589726087,0.308746552336462,0.427898184258583,0.806438377763814,0.625257190744821
Caleb Novak,Dale,1.00742888753525,0.681017829118588,0.256866096917953,0.9323474460656,0.420802739549105
Caligula Lotus,Hall Stars,0.24776748801966,0.657963262666056,0.10255863901104,0.539273990813633,0.279377799382145
Campos Arias,Jazz Hands,0.0298487180690377,0.953001279938515,0.630499402635653,0.349659156070623,0.378474497461994
Cannonball Sports,Dale,0.904771080463703,0.363226657458937,1.16692580938883,0.426163390214161,0.898643132374201
Cantus Hojo,Worms,0.638526447760667,0.854854224721202,0.467150891093973,0.426265690310169,0.001
Carmelo Plums,Tigers,0.339481712483837,0.781128756403592,0.315792473759794,0.822757990885804,0.347678286705009
Carter Oconnor,Shoe Thieves,0.250646143981462,0.42332851338465,0.593413367522207,0.113423767977404,0.91557581968373
Carter Turnip,Moist Talkers,0.439360431401748,0.695438719704466,0.466915416971915,0.951909234755208,0.404892098893058
Case Lancaster,Pies,0.675410502091747,0.392931763207316,0.489272566851259,0.864958057698679,0.109200207447038
Castillo Logan,Pies,0.500285218866377,0.452448462813589,0.382011329349945,0.348540624124468,0.765486953322382
Castillo Turner,Flowers,1.35102532677186,0.653908046052142,0.941226550702215,1.08128593727439,1.14132894816481
Cedric Spliff,Moist Talkers,1.0379232279768,0.314712693182213,0.544632061027762,0.848619994860599,0.557652845243699
Cell Barajas,Wild Wings,0.154502999064466,0.702830751690108,0.684503673489847,0.0593239049605852,0.481367582211728
Cell Longarms,Steaks,0.914611807220759,0.806082178118622,0.781602526277159,0.195898543284579,0.939342384360667
Chambers Kennedy,Flowers,0.0285284937864962,0.275113877314968,0.470030410971029,0.693496984592799,0.723003797604741
Chambers Simmons,Flowers,0.769855889836295,1.1319830860838,0.484124856699628,0.408153324517631,0.505771548772372
Charlatan Seabright,Millennials,0.514242501545206,0.564520531610084,0.301125875309569,0.239390398640161,0.315104174529678
Chet Takahashi,Spies,0.518236720540276,0.925143632725818,0.483282588406137,0.721090890882367,0.918921370115741
Chorby Short,Magic,0.46587594109842,0.998662296568124,0.613190962761182,0.995907480873021,0.533743252356623
Chorby Spoon,Lovers,0.659695658980755,0.18142011486076,0.233651884313906,0.0205450671827423,0.768385169165537
Chris Koch,Sunbeams,0.355286910410649,0.133913533161441,0.930727995999506,0.610005008328307,0.682206733516707
Chris Thibault,Dale,0.649654472616011,0.631470443754281,0.322139801142636,0.439655717190421,0.857553836631634
Christian Combs,Fridays,0.622797087901565,0.629414017388862,0.0686213706621147,0.0181427038146127,0.549234683148016
Cicero Homestyle,Wild Wings,0.868442147471858,0.58576319715192,0.325132351750549,0.117660085540532,0.561490745561699
Clare Mccall,Firefighters,0.268134145729061,0.269584782513662,0.661325008817388,0.680626593345506,0.308220659190943
Clementine Steeplechase,Georgias,0.463749464065356,0.920055511137797,0.431926475364648,0.405790445775251,0.390729359099227
Clove Mahle,Worms,0.941683399610331,0.83390732212296,0.217919196174166,0.331751995031442,0.793972809052798
Collins Melon,Jazz Hands,0.88443616326804,1.08257450412804,0.509189966847811,0.620385594280428,1.10807501620952
Collins Mina,Moist Talkers,0.718067203152813,0.739660468969993,0.540433857792113,0.772095913942872,0.13832263757973
Combs Estes,Jazz Hands,0.738540922148882,0.130644696632261,0.877687772871805,0.6200472755147,0.878113260340664
Comfort Monreal,Sunbeams,0.395220496819852,0.484549574740245,0.876295228248177,0.70758493803827,0.00588790557480312
Comfort Septemberish,Spies,0.786230676931953,0.98237810574024,1.14667989811122,0.611939973616953,1.1842933329131
Commissioner Vapor,Moist Talkers,0.780688835734565,0.906946186064876,0.881936664890016,0.363731501045752,0.586503497322118
Concrete Mandible,Lift,0.423163766661434,0.511424378357753,0.800036375745464,0.257602320338019,0.521794797940355
Conditional Yuniesky,Shoe Thieves,0.434792966849717,0.127031652391776,0.866739708526369,0.683603535213079,0.903374901223277
Conner Haley,Steaks,0.937253148668548,0.876094217381586,1.09979016942943,1.18005886595962,1.04235177905504
Conrad Bates,Breath Mints,0.402822493374754,0.0583523872327271,0.192010411066704,1.00915132465065,0.899337684177772
Conrad Twelve,Firefighters,0.229950247428485,0.580576351208803,0.226716982094062,0.302483545182404,0.510344023700414
Conrad Vaughan,Jazz Hands,0.266706021417195,0.580415662907729,0.17251428155359,0.126902268898478,1.0560503217141
Coolname Galvanic,Lift,0.408198805734607,0.254437818411483,0.979814314680533,0.535856321658829,0.551056265326687
Cornelius Games,Shoe Thieves,0.820913746246514,0.376611152373571,0.342643324598711,0.694445505826725,0.794376447027035
Cory Novak,Fridays,0.925457266236184,0.302420666169779,0.790920653623528,0.601815037583033,0.242993192572603
Cory Ross,Steaks,1.00005769436302,0.732518046482675,1.12798370877194,0.826295988167907,0.82196731680425
Cory Twelve,Flowers,0.0753311520863771,0.959777578606679,0.603782014140954,0.802496691952937,0.478718778781304
Cote Rodgers,Jazz Hands,0.479953429052234,0.820819272568634,0.0574365902856793,0.839758574040749,0.740438270272421
Cravel Gesundheit,Mechanics,0.208805403403539,0.239688931577433,0.19542167864424,0.828147871495261,0.0228098499664409
Cudi Di Batterino,Lift,0.001,0.35419891585806,0.001,0.001,0.011127221128983
Curry Aliciakeyes,Magic,0.556530861116264,0.344575805023761,0.444596499708626,0.867063936236462,0.734776965569531
Daiya Vine,Spies,0.118829447784221,0.383887055369015,0.661441509301507,0.258897572018818,0.636438881045211
Dander Permadeath,Lift,0.713160430739489,0.69840138509145,0.6696575223135,0.41908269332409,0.0154069381942001
Daniel Benedicte,Garages,0.291583242223648,0.221448763844391,0.824416821875112,0.404798517798949,0.850735953728116
Daniel Koch,Tigers,0.339880926914203,0.248122340637553,0.828501515065972,0.517311802556166,0.376731060458933
Daniel Mendoza,Breath Mints,0.385463810193138,0.388205841007651,0.528746540714017,0.142069501534928,0.512519399656851
Declan Suzanne,Firefighters,0.0150233998907334,0.0412182793285554,0.0308556805905573,0.361226918100457,0.245105767984534
Denim Squall,Moist Talkers,0.302313273943724,0.0631925595339307,0.866315477516111,0.234650180375199,0.159736846195546
Denzel Scott,Spies,0.179039351671043,0.318048701990532,0.453149148153312,0.310586374048493,0.438424524186422
Dickerson Morse,Steaks,0.499364734268859,0.99734171725847,1.26960248684561,0.851975959139624,1.04237411123289
Doc Anice,Pies,0.546376757525414,0.884959787450035,0.0449720517105985,0.00253098176843825,0.65448447161698
Doc Cash,Tigers,0.623633295345428,0.23260232880866,0.73229391092164,0.0616402234487075,0.261381621635393
Dominic Marijuana,Hall Stars,0.242061266963086,0.0160977203131865,0.879298763248501,0.326596486172556,0.165790504615554
Dominic Woman,Tigers,0.413193478016218,0.62705894560117,0.988617771582935,0.683720755525123,0.89862176220485
Don Elliott,Dale,0.64642602869084,0.290621371775833,0.03,0.313724922443276,0.759314910756203
Donia Bailey,Spies,0.0335697229411414,0.617082589017806,0.699224115881794,0.179163661197837,0.978618072511445
Donia Dollie,Jazz Hands,0.0386323807983593,0.674297549150408,0.395122175412443,0.761983799944575,0.828293257503341
Donia Johnson,Shoe Thieves,0.063519137152241,0.696867438515948,0.412432504974861,0.614800388471745,0.574950544754045
Don Mitchell,Lovers,1.27863796497159,1.24621267120278,0.838331149358046,0.580711549759643,1.15004809934237
Dudley Mueller,Sunbeams,1.12338351831866,0.584979600415854,0.714371871352938,0.422064351334185,0.451417575627415
Dulce Schofield,Worms,0.575616128743321,0.846820839745429,0.25243389188873,0.435038464515626,0.0486101078287082
Dunlap Figueroa,Tigers,0.426918207498941,0.49955866402479,0.382952620528441,0.466325688074952,0.495656182777398
Dunn Keyes,Flowers,1.01744464305783,1.09377248074021,1.20885028553908,0.40074912938337,0.704970973478423
Durham Spaceman,Garages,0.258977419002998,0.75642386882991,0.469502179899145,0.365574366950423,0.265210558567105
Eddie Nakamoto,Mechanics,0.381703751828428,0.901159265655526,0.400104546199611,0.697928692065476,0.572526249262033
Edric Tosser,Jazz Hands,0.603596635672219,0.411975285487703,0.515175037116041,0.0228802756573727,0.187251063752103
Eduardo Perez,Spies,0.939422372546129,0.156286150406182,0.411158601237413,0.0845892195801321,0.618933902391963
Eduardo Woodman,Pies,0.526095290184973,0.617190508840284,1.0404819998906,0.860506056344021,0.707615589684012
Eizabeth Elliott,Magic,0.679136666245419,1.30624706965054,1.14067969123379,0.374168093930183,0.78727259453242
Eizabeth Guerra,Breath Mints,0.658538128573592,0.661081258714968,0.586929232263265,1.05941968213396,0.435919332210191
Elijah Bookbaby,Flowers,0.159359899689858,0.674299875018388,0.465609230011568,0.579621918600409,0.329128112211012
Elijah Glover,Crabs,0.267585703187502,0.680663478738793,0.129319664848628,0.462953163419835,0.762435267071511
Elijah V-l-nzue-a,Jazz Hands,0.110247066330111,0.7004697324718,0.29876040115651,0.622314590516582,0.148891396081271
Elip Dean,Tigers,0.557357566513222,0.726124570268579,0.704592674539833,0.697514357914585,0.883104430924966
Elvis Figueroa,Pies,0.369238841896478,0.317095561712013,0.263381574457826,0.109727695907596,0.174243411211339
Elwin Blaskets,Sunbeams,0.277333859229423,0.585188287822308,0.322458475568286,0.469529350758923,0.781987176538526
Elwin McGhee,Lift,0.844301531260187,0.661778633268649,0.55360515316146,0.450636706379068,0.894339921115397
Emblem Warhorse,Garages,0.0439066532440999,0.0954792279635996,0.747570263291745,0.262570776270847,0.696818865002256
Emilia Street,Garages,0.706248252002456,0.261669795072113,0.915012281172572,0.997240070943454,0.250551740321019
Emmett Internet,Hall Stars,0.745115035944716,0.492333452460088,0.175627871482937,0.0501842258653693,0.545566400292958
Emmett Tabby,Spies,0.0917029698167175,0.0980886292194745,0.751263914164669,0.634011706415769,0.0610825334431999
Engine Eberhardt,Lift,0.910553776865302,0.831079173192106,0.217614180548535,0.926652051920604,0.794551619290934
England Voorhees,Magic,0.402458285076687,0.763771770184353,0.331635666026313,0.696480100770233,0.22934580690766
Enid Marlow,Worms,0.392059365148842,0.838184883795622,0.922693757566506,0.802858206128284,0.860475327381563
Ephraim Ladd,Worms,0.80284202597695,0.127563465838968,0.614679198531549,0.654548395296608,0.262116307004255
Erickson Fischer,Millennials,0.128596615161551,0.984600746110863,0.529593217688374,0.611545950369579,0.554187129604698
Erickson Sato,Wild Wings,0.0928265073407395,0.389159230045936,0.820980875680675,0.0485283696051149,0.649019058971848
Erin Beanbag,Millennials,0.287850047577133,0.458454316165618,0.692169373604499,0.308976465815732,0.644097370461114
Erin Jesaulenko,Georgias,0.678987465113104,0.520056186204937,0.456292197408326,0.567520704923286,0.228245958643532
Eris Street,Tigers,0.727707496083395,0.904867619237285,0.190451056771104,0.583209965675451,0.655527592805156
Esme Ramsey,Shoe Thieves,0.996554141075901,0.125516175178682,0.187848712220221,0.433244067708949,0.15356770145467
Eugenia Bickle,Sunbeams,1.04488270840102,0.207329893875835,0.990532930095948,0.209294046504203,0.406609431076107
Eugenia Garbage,Moist Talkers,0.791486120677827,0.311480341893079,0.351212155247024,0.289568639730266,0.236678700808045
Evelton McBlase,Fridays,0.666908078042524,0.704548039890911,0.784349430078035,0.631515662958632,0.388223390471737
Evelton McBlase II,Crabs,0.433921409109573,0.489128543107077,0.528703291295715,0.403057757895129,0.181698912378299
Famous Meng,Wild Wings,0.29933945407318,0.690531277324924,0.623069280527872,0.862409368451214,0.818680831614266
Famous Owens,Tigers,0.365065448185944,0.844408997907863,0.99799021332908,0.456813977012307,0.586218966927364
Farrell Seagull,Worms,0.161061024704129,0.429834665301235,0.753482143782228,0.623973194505765,0.223328367640247
Felix Garbage,Millennials,0.40192847796187,0.238632969665139,0.982733165812839,0.801222436520834,0.250469307385186
Fenry Marlow,Fridays,0.687227537069195,0.776663489218808,0.525096644717488,0.666403027084193,0.291481423386875
Fenry Wobin,Tigers,0.20524065669151,0.364014399801228,0.155050877606868,0.684203900235096,0.462529539593612
Finn James,Crabs,0.788321396784033,0.483806815479496,0.0968577334971348,0.489450364827728,1.01447988568416
Fish Summer,Moist Talkers,0.627217044106376,0.554165225764943,0.903283686259058,0.759216074264423,0.860034600555584
Fitzgerald Blackburn,Spies,0.460864406275155,0.378248583435169,0.388166853855096,0.575668271133821,0.865717341584868
Fitzgerald Wanderlust,Shoe Thieves,0.859336956431424,0.397315858771365,0.885274564096067,0.148663572790775,0.359476518193894
Flattery McKinley,Georgias,0.298692960693134,0.409549151323433,0.448222015555864,0.825968380954985,0.931223310371835
Fletcher Peck,Millennials,0.605540267738196,0.21222333714661,0.917880265178776,0.378498769230576,0.17424293165836
Fletcher Yamamoto,Lovers,0.747178259315994,0.100638077117892,0.102223520119838,0.0816017580051625,0.337660088057878
Forrest Best,Crabs,1.48932405431297,1.32246085588841,1.03959239438202,0.864467681695603,0.720952628880163
Foxy Pebble,Mechanics,0.35373483012344,0.795098917938854,0.424262725178537,0.0930376680714624,0.231985837305695
Fran Beans,Wild Wings,0.427805335213759,0.342375507577929,0.726549947567266,0.0889046960341972,1.02053294147402
Francisca Burton,Sunbeams,0.244671460551541,0.68830401741921,0.0769619572631721,0.0751118202110241,0.0471328555607187
Francisca Sasquatch,Dale,0.841102737155163,0.756846685440974,0.536207640798021,0.615578036145451,0.913368440135443
Francisco Object,Flowers,0.970535910748599,0.203169714519536,0.523358521396469,0.794033649934651,0.982593859175686
Francisco Preston,Magic,0.654252454037979,0.912909340820499,0.211547092159727,0.761495205248752,0.889545090561787
Frankie Hambone,Georgias,0.572437300957479,0.279573720052687,0.93953352624854,0.762862573530528,0.0168214102773407
Frazier Tosser,Lovers,0.502938956817641,0.273257874516558,0.530775713470767,0.654231713297986,0.657778207677264
Freemium Fairwood,Garages,0.696703861539126,0.0554219273048555,0.914232125374197,0.060739124149747,0.18517563253475
Freemium Seraph,Lift,0.661785270317622,0.597223936753114,0.932885792078785,0.25687497122998,0.0451175741028496
Fynn Doyle,Millennials,0.486458197195524,0.464440740171052,0.494778541514052,0.2894573954008,0.261340413422166
Gabriel Griffith,Fridays,0.799301596575452,0.924036814414429,1.13409811221669,1.23526875758235,0.793082492586716
Gallup Crueller,Steaks,0.278281240913734,0.616623873079332,0.653336149791006,0.878066447648768,0.390825049727485
Gallup Murphy,Shoe Thieves,0.387692928372177,0.710997485581576,0.169623176586913,0.794516696756879,0.95253206222022
Garcia Soto,Millennials,0.929172831947509,0.125254257245753,0.375078849581163,0.188387035371618,0.348094944441776
Garcia Tabby,Fridays,0.788636592634149,0.558512490125708,0.379329211966083,0.0781907470030034,0.722377911888105
Geraldine Frost,Georgias,0.713987119029659,0.0863507274509436,0.532077598426927,0.423032056201042,0.174684114506003
